rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700001217,SHREE SIDDHIVINAYAK ENTERPRISES,2,0,33
P51700003423,LA ARIHANT BUILDERS AND DEVELOPERS,3,0,48
P51700001570,SONAL DEV-CON PVT LTD,0,0,60
P51700001150,Fortune Infracreators Private Limited,1,1,12
P51700003493,Jai Mahalaxmi Enterprises,0,0,0
P51700001511,ROMA BUILDERS PRIVATE LIMITED,0,0,24
P51700009303,Kohinoor Realties (J.V),0,0,16
P51700003017,Ekdant Constructions and Developers Private Limited,0,0,12
P51700006566,PARAM DEVELOPERS,1,0,0
P51700001716,AMI INFRA,0,0,24
P51700006708,MOTIRAM DARSHAN NX,0,3,0
P51700008312,SHREE SAMARTH SATAM MAHARAJ DEVELOPERS,0,0,0
P51700002937,UMIYA ENTERPRISES,0,0,24
P51700006280,LARKINS REALTORS,0,0,12
P51700002657,LARKINS REALTORS,0,0,24
P51700004190,Mukta Builder,0,0,24
P51700005182,NEW ERA VENTURES,0,0,9
P51700007071,LARKINS REALTORS,0,0,24
P51700004024,LAABH BUILDCON,1,0,87
P51700003347,VANITA ENTERPRISES,0,0,0
P51700005937,SAI HOMES,0,0,41
P51700002787,Sonu Anil Hotchandani,7,3,6
P51700001164,KAMRAN LIVESTOCK & REAL ESTATE PVT LTD,6,0,42
P51700012649,VIP REALTORS PRIVATE LIMITED,0,0,12
P51700006887,SHIV SHAKTI CORPORATION,0,0,6
P51700001555,RAJ LAXMI DEVELOPERS,2,0,48
P51700003354,MAATRU KRUPA ENTERPRISES,0,0,6
P51700005357,V TEN REALTY PRIVATE LIMITED,1,0,6
P51700008172,SKHEIGHTS PVT LTD,2,1,24
P51700009259,M/s. Milestone Space,4,1,54
P51700008406,KOHINOOR INFRA DEVELOPMENT,1,0,18
P51700002459,NATASHA DEVELOPERS PVT LTD,1,0,36
P51700005172,DARSHAN SAGAR DEVELOPERS,23,0,17
P51700001130,KD VISION DEVELOPERS,0,0,24
P51700002104,AMBE DEEP ENTERPRISES,0,1,0
P51700008098,VIRA THEATRES PVT LTD,0,1,44
P51700004242,THARWANI CONSTRUCTIONS PVT LTD,25,1,16
P51700008015,ANAND HOMES,0,0,24
P51700004362,M/s. Universal Infra Developers,5,2,90
P51700000988,SHREE VIGNAHARTA DEVELOPER,3,0,36
P51700001986,PAREKH INFRAPROJECTS,0,0,0
P51700002188,DEEPLAXMI DEVELOPERS,0,0,12
P51700018906,DIWALI DEVELOPERS,0,0,24
P51700004721,A J OM ENTERPRISES,1,0,17
P51700003236,HAWARE ENGINEERS & BUILDERS PRIVATE LIMITED,4,0,6
P51700003576,Ovla Builders & Developers Pvt. Ltd.,0,0,72
P51700011404,HAWARE FINANCE PVT. LTD.,6,4,12
P51700007835,VANSH ENTERPRISES,0,0,0
P51700012359,Shraddha Corporation,0,0,10
P51700001284,HARASIDDH DEVELOPERS,1,1,12
